year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
2010.72710,,49.22000,,
2010.74080,,,52.47000,
2010.75410,,53.74000,,
2010.76770,,,32.39000,
2010.78140,,56.70000,,
2010.79510,,,67.97000,
2010.80830,,76.95000,,
2010.82210,,,40.65000,
2010.83490,,27.39000,,
2010.84930,,,-4.62000,
2010.86270,,41.38000,,
2010.87660,,,90.89000,
2010.88970,,103.84000,,
2010.90330,,,92.74000,
2010.91700,,112.27000,,
2010.93090,,,102.14000,
2010.94400,,86.11000,,
2010.95770,,,46.45000,
2010.97130,,68.32000,,
2010.98560,,,95.98000,
2010.99840,,105.86000,,
2011.01260,,,70.17000,
2011.02520,,67.11000,,
2011.03850,,,64.84000,
2011.05310,,29.39000,,
2011.06690,,,-7.98000,
2011.07970,,13.44000,,
2011.09330,,,32.38000,
2011.10700,,3.18000,,
2011.12130,,,-3.07000,
2011.13410,,46.08000,,
2011.14820,,,87.26000,
2011.16120,,96.85000,,
2011.17460,,,31.92000,
2011.18830,,-17.23000,,
2011.20210,,,-11.32000,
2011.21560,,-3.73000,,
2011.22920,,,-14.19000,
2011.24260,,-44.00000,,
2011.25660,,,-41.70000,
2011.26900,,-40.60000,,
2011.28340,,,-20.22000,
2011.29700,,-7.76000,,
2011.31100,,,9.03000,
2011.32440,,30.25000,,
2011.33800,,,54.84000,
2011.35140,,72.14000,,
2011.36510,,,15.92000,
2011.37870,,-7.58000,,
2011.39220,,,-5.06000,
2011.40580,,11.22000,,
2011.41950,,,26.10000,
2011.43320,,37.76000,,
2011.44630,,,43.80000,
2011.46000,,55.26000,,
2011.47350,,,17.65000,
2011.48710,,16.89000,,
2011.50130,,,6.62000,
2011.51410,,29.48000,,
2011.52810,,,21.69000,
2011.54140,,21.63000,,
2011.55540,,,19.26000,
2011.56840,,53.45000,,
2011.58250,,,41.14000,
2011.59580,,21.68000,,
2011.60930,,,5.76000,
2011.62280,,5.95000,,
2011.63660,,,-5.55000,
2011.65020,,14.79000,,
2011.66350,,,18.97000,
2011.67710,,29.67000,,
2011.69060,,,18.61000,
2011.70430,,14.31000,,
2011.71770,,,18.00000,
2011.73150,,11.09000,,
2011.74510,,,-2.17000,
2011.75860,,-23.03000,,
2011.77260,,,-10.47000,
2011.78570,,9.10000,,
2011.79940,,,2.77000,
2011.81320,,13.15000,,
2011.82680,,,11.65000,
2011.84010,,5.71000,,
2011.85350,,,2.79000,
2011.86720,,4.81000,,
2011.88090,,,-31.89000,
2011.89440,,-42.89000,,
2011.90830,,,-62.10000,
2011.92020,,-71.75000,,
2011.93570,,,-19.05000,
2011.94890,,28.72000,,
2011.96260,,,43.84000,
2011.97560,,44.37000,,
2011.98940,,,14.69000,
2012.00230,,-15.47000,,
2012.01740,,,-18.03000,
2012.03000,,-2.48000,,
2012.04400,,,1.49000,
2012.05690,,-14.93000,,
2012.07090,,,-13.58000,
2012.08300,,-20.25000,,
2012.09820,,,-21.56000,
2012.11010,,-41.36000,,
2012.12520,,,-49.49000,
2012.12700,,-65.17000,,
2012.15290,,,-39.47000,
2012.16760,,-59.58000,,
2012.17950,,,-16.42000,
2012.20670,,,12.24000,
2012.23360,,,-17.83000,
2012.26080,,,20.15000,
2012.28790,,,77.61000,
2012.31500,,,75.73000,
2012.34230,,,57.65000,
2012.36500,,46.75000,,
2012.37000,,,45.89000,
2012.39430,,58.90000,,
2012.39670,,,68.91000,
2012.42420,,,19.68000,
2012.42530,,10.66000,,
2012.45110,,,0.17000,
2012.45370,,-10.46000,,
2012.47460,,-14.97000,,
2012.47870,,,7.31000,
2012.49520,,26.60000,,
2012.50530,,,29.77000,
2012.52520,,18.20000,,
2012.53260,,,7.19000,
2012.55510,,-5.76000,,
